,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_433611252,3,-0.00010195630755061025,0.13456199,9.901725387614963,1.9924148e-07,1.3200853,0.030046853702515364,0.0864227470010519,0.23465942
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_960745502,0,0.00014258845851877755,0.23127475,4.6570263235840095,2.489135e-07,0.67900676,0.07368801906704903,0.34242718666791916,0.17405778
5,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_960745502,1,0.00020667004808605505,0.16711783,3.5933445064807863,3.8513087e-07,0.38946924,0.036194522865116596,0.27838727831840515,0.12493524
6,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_960745502,2,0.00011190417583628598,0.03917267,6.691476678720878,1.0507389e-08,0.18151595,0.004039049497805536,0.062055920250713825,0.046669144
7,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_960745502,3,-4.9883597445399275e-05,0.019443488,10.76361027697251,9.7104955e-09,0.22989766,0.001109542849007994,0.013594376854598522,0.0415412
8,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_759352143,0,5.501715002953489e-05,0.13353066,6.5660513937569345,2.56903e-07,0.6025043,0.019393058959394693,0.2131439782679081,0.15808211
9,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_759352143,1,-2.2899055561964587e-05,0.08183767,9.155444490278086,2.0052712e-12,0.6704826,0.009210963966324925,0.08378822915256023,0.1351372
10,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_759352143,2,-5.968062015226927e-05,0.058206573,4.952123386398674,5.6368574e-08,0.18090291,0.013101820601150393,0.09870580025017262,0.053005237
11,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_759352143,3,-0.00011060847836663612,0.0359059,7.57833950710888,1.2973612e-11,0.20378675,0.004698839038610458,0.04475470632314682,0.043432508
12,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_37078787,0,6.905207122409607e-05,0.15885797,9.14981740821524,4.7494612e-07,1.3106996,0.01723428536206484,0.12431966327130795,0.2825548
13,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_37078787,1,5.408477535129297e-05,0.10694374,7.970022874430136,2.8054142e-10,0.67339283,0.012242775410413742,0.15220735594630241,0.13891864
