,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_433611252,2,0.6631768379690649,0.0039176606,30.742749757878713,1.1004886e-10,0.013842315,0.00044105267443228513,0.0073930006474256516,0.003978618
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_433611252,3,0.6535295486369961,0.0031186845,31.6156923198033,5.684342e-14,0.012106088,0.00046745131112402305,0.004435666953213513,0.0035264418
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_960745502,0,0.7489758894692022,0.0015941157,34.597044558444296,7.5729645e-11,0.007779004,0.00021572275363723747,0.0022330443025566638,0.0019356465
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_960745502,1,0.8003879246871537,0.0008382635,37.21904622328522,3.007017e-11,0.0030628117,7.085469769663177e-05,0.0013829624222125858,0.00080586853
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_960745502,2,0.08586461247515054,0.0011635249,35.71258917784222,2.1283455e-09,0.0032355918,0.0005061285046394914,0.0018231476715300232,0.00085987255
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_960745502,3,-1.9128500823668677,0.0014172608,34.6507144422618,6.8050667e-09,0.003159247,0.0007447352836607024,0.001994792779441923,0.00073205476
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_759352143,0,0.5872070311090979,0.0016075859,34.402229230584005,3.915943e-10,0.0071285623,0.00045453483471646905,0.0021133908885531127,0.0015311658
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_759352143,1,0.28950346257160076,0.001074391,36.02610205619967,6.8780537e-12,0.0031716551,0.00035030569415539503,0.0016615193744655699,0.0008195279
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_759352143,2,0.6101535943629053,0.0006982468,37.87184619079602,1.114131e-11,0.0032816748,4.587749936035834e-05,0.0010852540435735136,0.0008888239
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_759352143,3,0.5212180025241142,0.0007692535,37.39196288000845,3.3702463e-10,0.0032116184,6.592134195670951e-05,0.0013121770753059536,0.00083175703
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_37078787,0,0.6763577121302872,0.0016576243,34.24231882816918,7.697963e-09,0.007932737,0.0004431855777511373,0.00206362537574023,0.001836237
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_37078787,1,0.7078451236557489,0.00064192445,38.24330354876649,5.5712235e-10,0.003146235,6.708504224661738e-05,0.0009937570721376687,0.00078792655
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_37078787,2,0.5985839311631589,0.0008734418,37.00060375264649,5.4626526e-11,0.003237043,0.00023541464906884357,0.0013081745419185609,0.00074861466
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_37078787,3,0.5419892892382562,0.0008594454,36.94242059172305,1.8417268e-11,0.0032624453,0.00017194473548443057,0.0013034424337092787,0.0008245965
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_433611252,0,0.7583868849122133,0.0041781426,30.488901252627446,6.2843952e-09,0.015159286,0.0007850232505006716,0.00844172015786171,0.004367234
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_433611252,1,0.7731876867710251,0.0004727716,39.6847367685982,2.3888447e-11,0.015372914,4.69883589175879e-05,0.0002524894953239709,0.0011289663
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_433611252,2,0.7580441911731263,0.0028142384,32.17940893941231,9.094947e-11,0.01536715,0.00010229993677057792,0.004961234051734209,0.0038537073
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_433611252,3,0.8306098073563273,0.0015247321,34.72347130908149,2.551701e-10,0.015484798,0.000193622377992142,0.0018251734727527946,0.0019857183
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_960745502,0,0.7718542130444408,0.001448828,35.01207439579025,5.0762594e-10,0.013538639,9.98796931526158e-05,0.0008306601812364534,0.0025909003
5,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_960745502,1,0.8284476328431911,0.00072042784,37.87694754785845,1.6427748e-11,0.013599961,6.11152827332262e-05,0.0009875006508082151,0.0013674153
6,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_960745502,2,0.6320684449494594,0.00046830863,39.66502478412283,1.7195134e-10,0.013715146,3.1041284387356427e-06,0.000500146605190821,0.001320269
7,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_960745502,3,0.2603140215908377,0.00035989768,40.603421308697364,3.5527137e-13,0.013659945,1.3220519122114638e-05,0.0004324270485085435,0.00094333774
8,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_759352143,0,0.7717772863794585,0.00088879326,36.975963361178216,4.106937e-10,0.017140403,0.00017165290410048328,0.0012473539682105184,0.001633963
9,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_759352143,1,0.5701980920261471,0.0006499331,38.20903821623914,1.0074984e-08,0.017132476,0.0002581206717877649,0.0006639197672484443,0.0015188396
10,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_759352143,2,0.6886133136127652,0.00055771903,38.8477804400052,7.366907e-11,0.017178662,7.399224159598816e-05,0.0006074010452721268,0.001556416
11,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_759352143,3,0.6906175605504474,0.0004970812,39.28838367832124,7.6488504e-10,0.017067533,3.76219795725774e-05,0.0006487676146207377,0.0011548649
12,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_37078787,0,0.8459986452100126,0.0007887609,37.4677262981269,9.313226e-10,0.016282143,0.0002117771509801969,0.0009566711814841256,0.0014897768
13,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_37078787,1,0.8219599758140492,0.00039119058,40.394259178909806,6.8780537e-12,0.016235843,1.7844215108198114e-05,0.0003388984841876663,0.001451196
14,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_37078787,2,0.7342263674329284,0.0005782973,38.7914315679508,9.459313e-10,0.016092226,6.776719783374574e-05,0.0008403354731854051,0.0011312624
15,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,366911340,perlin_37078787,3,0.7964207364127406,0.0003820113,40.46384183627602,3.5527137e-09,0.01626347,8.429337867710274e-05,0.0003300460084574297,0.0010806496
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,316013540,perlin_433611252,0,0.557884239346889,0.007645374,27.864746779193137,1.4210855e-14,0.020639447,0.0022352778469212353,0.011284323874861002,0.0054514757
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,316013540,perlin_433611252,1,0.643527382295956,0.00074303785,37.721141104833144,7.993606e-11,0.0027648192,0.00014080826804274693,0.0012853263760916889,0.0006208276
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,316013540,perlin_433611252,2,0.6148866145831557,0.004479334,30.160882990584483,2.664379e-09,0.016999668,0.0006682593957521021,0.007572611910291016,0.0045933397
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,316013540,perlin_433611252,3,0.5996889194760219,0.0036033203,30.98837790541029,1.6427748e-09,0.015069329,0.0004679844787460752,0.0047512626042589545,0.0044995686
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,316013540,perlin_960745502,0,0.725817629163654,0.0017411809,34.21380412070593,3.754451e-09,0.006774694,0.00017990254127653316,0.0029339318280108273,0.0018059408
