,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_37078787,3,-0.002287489091551631,0.049010023,11.821626341863796,4.357603e-11,0.75027597,0.0060966667952016,0.03785576671361923,0.107912704
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_433611252,0,0.010081168552610542,0.23311128,5.987781888561731,5.1494022e-09,0.92835754,0.004314539721235633,0.38411589711904526,0.3023011
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_433611252,1,0.007513995499227599,0.063145325,7.588470506067088,3.3685368e-10,0.36056894,0.005133028258569539,0.08956515789031982,0.08715355
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_433611252,2,0.004711613793442093,0.14573467,7.062575038303472,7.2966756e-08,0.7383843,0.025547489058226347,0.21589582785964012,0.14432171
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_433611252,3,-0.0011277844917536584,0.13470002,9.897272791136064,8.3785443e-07,1.3190078,0.030896201264113188,0.08580668084323406,0.2345187
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_960745502,0,0.010808537977576305,0.22880763,4.703603567069745,7.400083e-08,0.67331827,0.07020776718854904,0.3415542319417,0.17310566
5,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_960745502,1,0.012525273523688818,0.16505875,3.647187211370696,5.0979793e-08,0.38037792,0.03432688117027283,0.2798376679420471,0.12446445
6,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_960745502,2,0.011638159743942222,0.038721107,6.741830545547999,1.0757162e-08,0.18416978,0.0038623453001491725,0.058997754007577896,0.04678583
7,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_960745502,3,0.020923282792268294,0.019035716,10.855659995748121,1.1257407e-08,0.2303476,0.0010136490454897285,0.013157041510567069,0.041237213
8,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_759352143,0,0.0034591233568784796,0.13307607,6.5808612888546865,1.6157089e-09,0.60323256,0.018567015882581472,0.21247898787260056,0.15846539
