-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      13.383ms        22.11%      13.383ms      25.156us           0 b           0 b           0 b           0 b           532  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.02%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
CudaCodeGen::kernel28(CudaCodeGen::Tensor<long long,...         0.00%       0.000us         0.00%       0.000us       0.000us     158.000us         0.26%     158.000us      39.500us           0 b           0 b           0 b           0 b             4  
CudaCodeGen::kernel29(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us     458.000us         0.76%     458.000us      57.250us           0 b           0 b           0 b           0 b             8  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.672ms         2.76%       1.672ms       3.167us           0 b           0 b           0 b           0 b           528  
CudaCodeGen::kernel30(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         0.02%      10.000us       2.500us           0 b           0 b           0 b           0 b             4  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     982.000us         1.62%     982.000us       7.439us           0 b           0 b           0 b           0 b           132  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.000us         0.23%     142.000us       1.076us           0 b           0 b           0 b           0 b           132  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.440ms         5.68%       3.440ms      26.875us           0 b           0 b           0 b           0 b           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.216ms         5.31%       3.216ms      25.125us           0 b           0 b           0 b           0 b           128  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us       1.297ms         2.14%       1.297ms       3.378us           0 b           0 b           0 b           0 b           384  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us     771.000us         1.27%     771.000us       2.008us           0 b           0 b           0 b           0 b           384  
CudaCodeGen::kernel31(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us     265.000us         0.44%     265.000us       2.070us           0 b           0 b           0 b           0 b           128  
CudaCodeGen::kernel32(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us     373.000us         0.62%     373.000us       2.914us           0 b           0 b           0 b           0 b           128  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.03%      20.000us       2.500us           0 b           0 b           0 b           0 b             8  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.02%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 176.199ms
Self CUDA time total: 60.533ms

